week,alpha,EXCELLENT,GOOD,NORMAL,DISAPPOINTED,Excellent_lead_1wk,Good_lead_1wk,Normal_lead_1wk,Disappoint_lead_1wk,Excellent_lead_2wk,Good_lead_2wk,Normal_lead_2wk,Disappoint_lead_2wk,Alpha_class
368,0.8300000000000001,1,0,3,1,0,3,2,0,2,2,1,0,4
369,4.22,3,2,2,0,1,0,3,1,0,3,2,0,5
370,-0.6399999999999997,2,1,2,0,3,2,2,0,1,0,3,1,3
371,1.5100000000000007,2,0,2,0,2,1,2,0,3,2,2,0,4
372,1.2800000000000002,1,3,1,2,2,0,2,0,2,1,2,0,4
373,1.8099999999999998,2,2,2,0,1,3,1,2,2,0,2,0,4
374,8.610000000000001,0,1,2,0,2,2,2,0,1,3,1,2,6
375,-0.8200000000000001,0,0,2,0,0,1,2,0,2,2,2,0,3
376,-3.0100000000000007,2,3,3,0,0,0,2,0,0,1,2,0,2
377,13.259999999999998,2,0,4,0,2,3,3,0,0,0,2,0,6
